season,site,parameter,t_mean01,t_mean99,t_slope_behind_01,t_slope_behind_99,t_sd_0199
winter_baseflow,lbea,Turbidity,23.2252054,593.397123480001,-57.6641458293333,61.1418966933332,7.68973886755138
fall_baseflow,legacy,Depth,0.176700868083,2.29460070612717,-0.0197587474365234,0.0107377035942078,0.5232118477703062
monsoon,legacy,Depth,0.169600898659229,0.743265211137772,-0.00127901052074433,0.00215562992954255,0.1413527930682744
snowmelt,legacy,Depth,0.260004552577972,1.36935792173767,-0.00250447421302795,0.00248368052101135,0.2693963794502657
winter_baseflow,legacy,Depth,0.181882227327347,0.844673572883606,-0.00160158058433533,0.00180298333454131,0.13044936058373116
fall_baseflow,legacy,DO,5.62213272571564,13.976190290451,-0.0251144688924154,0.0269142901102701,1.6353271720856892
monsoon,legacy,DO,5.93377868652344,10.1678475570679,-0.015869374593099,0.0131551564534505,0.723766003296414
snowmelt,legacy,DO,7.88104766845703,10.3253314208984,-0.00886088371276855,0.00678132375081383,0.5088279227247807
winter_baseflow,legacy,DO,6.39979439735413,13.4597017192841,-0.0302910435994466,0.0251880702972412,1.4995149207303526
fall_baseflow,legacy,ORP,0.187621215820312,0.459724393310547,-8.98717244466146e-4,8.06380310058594e-4,0.08265155288791011
monsoon,legacy,ORP,0.220536154785156,0.373828541259766,-0.00104194291178385,8.56628743489585e-4,0.03260903924896252
snowmelt,legacy,ORP,0.222370227966309,0.377240596618652,-0.00123637137858073,0.00112791935221354,0.02718540596016293
winter_baseflow,legacy,ORP,0.0463285484313965,0.405395135498047,-0.0015497451171875,0.00142747578938802,0.08977397258941618
fall_baseflow,legacy,pH,7.62306064605713,9.41932907104492,-0.00837076314290365,0.00801437695821126,0.4939425374025244
monsoon,legacy,pH,7.45737394332886,9.21540596008301,-0.00800823974609375,0.00674500528971353,0.3918197022893016
snowmelt,legacy,pH,7.40581153869629,8.29955791473389,-0.0071597318649292,0.00647114435831706,0.16081190832806197
winter_baseflow,legacy,pH,0,9.41128977027893,-0.00767614480013021,0.0074055138122559,0.44942681859118677
fall_baseflow,legacy,Specific Conductivity,110.643973083496,405.686297607422,-1.21423482259115,1.10697969563802,82.78230387599969
monsoon,legacy,Specific Conductivity,67.615286026001,354.231774291992,-0.510001703898112,0.349285486857095,58.58564699163994
snowmelt,legacy,Specific Conductivity,37.4921563720703,168.743419799805,-0.738288269042969,0.770560129801432,28.91179087345649
